Task ID,Task Name,Task Category,Task Description,Task Check,Task Virtual Reward,Task Real Reward
845,Innovation Task 845: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"120 XP, 25 coins",None
846,Creative Task 846: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"121 XP, 26 coins",None
847,Innovation Task 847: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"122 XP, 27 coins",None
848,Survival Task 848: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"123 XP, 28 coins",None
849,Survival Task 849: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"124 XP, 29 coins",None
850,Fitness Task 850: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"125 XP, 20 coins",None
851,Social Task 851: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"126 XP, 21 coins",None
852,Spiritual Task 852: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"127 XP, 22 coins",None
853,Fitness Task 853: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"128 XP, 23 coins",None
854,Innovation Task 854: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"129 XP, 24 coins",None
855,Fitness Task 855: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"130 XP, 25 coins",None
856,Creative Task 856: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"131 XP, 26 coins",None
857,Governance Task 857: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"132 XP, 27 coins",None
858,Engineering Task 858: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"133 XP, 28 coins",None
859,Survival Task 859: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"134 XP, 29 coins",None
860,Governance Task 860: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"135 XP, 20 coins","Exclusive knowledge, priority access to research"
861,Education Task 861: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"136 XP, 21 coins",None
862,Governance Task 862: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"137 XP, 22 coins",None
863,Spiritual Task 863: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"138 XP, 23 coins",None
864,Innovation Task 864: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"139 XP, 24 coins",None
865,Spiritual Task 865: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"140 XP, 25 coins",None
866,Governance Task 866: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"141 XP, 26 coins",None
867,Governance Task 867: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"142 XP, 27 coins",None
868,Social Task 868: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"143 XP, 28 coins",None
869,Innovation Task 869: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"144 XP, 29 coins",None
870,Spiritual Task 870: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"145 XP, 20 coins",None
871,Fitness Task 871: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"146 XP, 21 coins",None
872,Fitness Task 872: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"147 XP, 22 coins",None
873,Fitness Task 873: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"148 XP, 23 coins",None
874,Survival Task 874: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"149 XP, 24 coins",None
875,Exploration Task 875: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"150 XP, 25 coins",None
876,Spiritual Task 876: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"151 XP, 26 coins",None
877,Survival Task 877: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"152 XP, 27 coins",None
878,Governance Task 878: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"153 XP, 28 coins",None
879,Exploration Task 879: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"154 XP, 29 coins",None
880,Social Task 880: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"155 XP, 20 coins","Exclusive knowledge, priority access to research"
881,Fitness Task 881: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"156 XP, 21 coins",None
882,Fitness Task 882: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"157 XP, 22 coins",None
883,Fitness Task 883: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"158 XP, 23 coins",None
884,Spiritual Task 884: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"159 XP, 24 coins",None
885,Exploration Task 885: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"160 XP, 25 coins",None
886,Survival Task 886: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"161 XP, 26 coins",None
887,Social Task 887: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"162 XP, 27 coins",None
888,Creative Task 888: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"163 XP, 28 coins",None
889,Exploration Task 889: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"164 XP, 29 coins",None
890,Engineering Task 890: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"165 XP, 20 coins",None
891,Survival Task 891: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"166 XP, 21 coins",None
892,Social Task 892: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"167 XP, 22 coins",None
893,Fitness Task 893: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"168 XP, 23 coins",None
